fork,eip,cross_layer,cohort,late_classification,censored,information_cutoff_at,days_cutoff_to_mainnet,days_cutoff_to_window_end,subst_revisions_after_cutoff,normative_revisions_after_cutoff,uncertain_revisions_after_cutoff,devnet_count,devnet_span_days,inferred_devnet_count,days_cutoff_to_first_devnet,deps_final,deps_after_cutoff,inclusion_reversals,unknown_inclusion_events,days_cutoff_to_sfi
osaka,7594,True,forecastable_at_cutoff,,False,2024-09-27T18:42:32+00:00,1.0,432.1,0.7083333333333334,0.8333333333333334,0,0.875,0.8333333333333334,0,1.0,0.7083333333333334,0.5,0.5416666666666666,0,0.25
osaka,7642,False,forecastable_at_cutoff,,False,2025-02-21T16:21:57+00:00,0.6666666666666666,285.2,0.2916666666666667,0.4166666666666667,0,0.16666666666666666,,0,,0.7083333333333334,0.5,0.5416666666666666,0,0.5833333333333334
osaka,7823,False,forecastable_at_cutoff,,False,2025-01-23T23:05:03+00:00,0.9166666666666666,313.9,0.2916666666666667,0.4166666666666667,0,0.875,0.8333333333333334,0,0.8888888888888888,0.7083333333333334,0.5,0.5416666666666666,0,1.0
osaka,7825,False,forecastable_at_cutoff,,False,2025-02-21T01:11:23+00:00,0.8333333333333334,285.9,0.2916666666666667,0.4166666666666667,0,0.625,0.5,0,0.7777777777777778,0.2916666666666667,0.5,0.5416666666666666,0,0.9166666666666666
osaka,7883,False,forecastable_at_cutoff,,False,2025-02-21T10:10:59+00:00,0.75,285.5,0.7083333333333334,0.4166666666666667,0,0.875,0.8333333333333334,0,0.6666666666666666,0.7083333333333334,0.5,0.5416666666666666,0,0.8333333333333334
osaka,7892,True,forecastable_at_cutoff,,False,2025-03-25T15:44:57+00:00,0.5833333333333334,253.3,0.9583333333333334,0.9166666666666666,0,0.875,0.8333333333333334,0,0.4444444444444444,0.2916666666666667,0.5,0.5416666666666666,1,0.5
osaka,7910,False,late_scope,ancillary_or_non_consensus,False,2025-07-10T14:25:07+00:00,0.08333333333333333,146.3,0.8333333333333334,0.4166666666666667,0,0.16666666666666666,,0,,0.9583333333333334,0.5,0.5416666666666666,0,0.25
osaka,7918,False,forecastable_at_cutoff,,False,2025-03-26T23:25:10+00:00,0.5,251.9,0.9583333333333334,1.0,0,0.625,0.5,0,0.5555555555555556,0.9583333333333334,1.0,0.5416666666666666,0,0.75
osaka,7934,False,late_scope,unresolved,False,2025-05-09T21:56:48+00:00,0.375,208.0,0.5833333333333334,0.4166666666666667,0,0.4166666666666667,0.2222222222222222,0,0.3333333333333333,0.2916666666666667,0.5,0.5416666666666666,0,0.6666666666666666
osaka,7935,False,late_scope,independent_addition,False,2025-05-09T21:56:48+00:00,0.375,208.0,0.2916666666666667,0.4166666666666667,0,0.16666666666666666,,0,,0.2916666666666667,0.5,0.5416666666666666,1,0.25
osaka,7939,False,late_scope,independent_addition,False,2025-07-02T17:49:36+00:00,0.20833333333333334,154.2,0.2916666666666667,0.4166666666666667,0,0.4166666666666667,0.2222222222222222,0,0.16666666666666666,0.2916666666666667,0.5,0.5416666666666666,0,0.25
osaka,7951,False,forecastable_at_cutoff,,False,2025-07-02T17:49:36+00:00,0.20833333333333334,154.2,0.2916666666666667,0.4166666666666667,0,0.4166666666666667,0.2222222222222222,0,0.16666666666666666,0.2916666666666667,0.5,0.5416666666666666,0,0.25
amsterdam,2780,False,forecastable_at_cutoff,,True,2025-09-12T13:12:54+00:00,,346.4,0.8666666666666667,0.8666666666666667,0,0.23333333333333334,0.23333333333333334,0,0.9333333333333333,0.9333333333333333,0.9,0.5333333333333333,2,0.8666666666666667
amsterdam,7610,False,forecastable_at_cutoff,,True,2025-09-24T14:40:52+00:00,,334.4,0.16666666666666666,0.16666666666666666,0,0.23333333333333334,0.23333333333333334,0,0.8666666666666667,0.6,0.6,0.5333333333333333,1,0.8
amsterdam,7708,False,forecastable_at_cutoff,,True,2025-10-22T20:52:23+00:00,,306.1,0.7333333333333333,0.7,0,0.8333333333333334,0.8333333333333334,0,0.4,0.6666666666666666,0.8,0.5333333333333333,0,0.4
